title,director
Dick Johnson Is Dead,Kirsten Johnson
Blood & Water,
Ganglands,Julien Leclercq
Jailbirds New Orleans,
Kota Factory,
Midnight Mass,Mike Flanagan
My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha"
Sankofa,Haile Gerima
The Great British Baking Show,Andy Devonshire
The Starling,Theodore Melfi
"Vendetta: Truth, Lies and The Mafia",
Bangkok Breaking,Kongkiat Komesiri
Je Suis Karl,Christian Schwochow
Confessions of an Invisible Girl,Bruno Garotti
Crime Stories: India Detectives,
Dear White People,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams"
Falsa identidad,
Intrusion,Adam Salky
Jaguar,
Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton
Resurrection: Ertugrul,
Avvai Shanmughi,K.S. Ravikumar
Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore"
Jeans,S. Shankar
Love on the Spectrum,
Minsara Kanavu,Rajiv Menon
Grown Ups,Dennis Dugan
Dark Skies,Scott Stewart
Paranoia,Robert Luketic
Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
Chicago Party Aunt,
Sex Education,
Squid Game,
Tayo and Little Wizards,
The Father Who Moves Mountains,Daniel Sandu
The Stronghold,Cédric Jimenez
Angry Birds,
Birth of the Dragon,George Nolfi
Chhota Bheem,
He-Man and the Masters of the Universe,
Jaws,Steven Spielberg
Jaws 2,Jeannot Szwarc
Jaws 3,Joe Alves
Jaws: The Revenge,Joseph Sargent
My Heroes Were Cowboys,Tyler Greco
Safe House,Daniel Espinosa
The Smart Money Woman,Bunmi Ajakaiye
Training Day,Antoine Fuqua
Castle and Castle,
Dharmakshetra,
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara
InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara
InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara
InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara
Nailed It,
Naruto Shippuden the Movie: Blood Prison,Masahiko Murata
Naruto Shippûden the Movie: Bonds,Hajime Kamegaki
Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata
Naruto Shippuden: The Movie,Hajime Kamegaki
Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata
Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru
Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura
Nightbooks,David Yarovesky
Numberblocks,
Raja Rasoi Aur Anya Kahaniyan,
Saved by the Bell,
Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech"
Stories by Rabindranath Tagore,
Too Hot To Handle: Latino,
A StoryBots Space Adventure,David A. Vargas
Jack Whitehall: Travels with My Father,
King of Boys,Kemi Adetiba
The World's Most Amazing Vacation Rentals,
You vs. Wild: Out Cold,Ben Simms
Yowamushi Pedal,
Little Singham - Black Shadow,Prakash Satam
Tughlaq Durbar,Delhiprasad Deenadayalan
Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan
Firedrake the Silver Dragon,Tomer Eshed
Kate,Cedric Nicolas-Troyan
Lucifer,
Metal Shop Masters,
Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele"
Pokémon Master Journeys: The Series,
Prey,Thomas Sieben
Titipo Titipo,
Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke
Mighty Raju,
Paradise Hills,Alice Waddington
The Women and the Murderer,"Mona Achache, Patricia Tourancheau"
Into the Night,
JJ+E,Alexis Almström
Show Dogs,Raja Gosnell
The Circle,
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak
Kid Cosmic,
Octonauts: Above & Beyond,
On the Verge,
Tobot Galaxy Detectives,
Untold: Breaking Point,"Chapman Way, Maclain Way"
Countdown: Inspiration4 Mission to Space,Jason Hehir
Shadow Parties,Yemi Amodu
Tayo the Little Bus,
Angamaly Diaries,Lijo Jose Pellissery
Bunk'd,
A Champion Heart,David de Vos
Dive Club,
La casa de papel,
Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander"
Sharkdog,
Worth,Sara Colangelo
Afterlife of the Party,Stephen Herek
Anjaam,Rahul Rawail
Bright Star,Jane Campion
Dhanak,Nagesh Kukunoor
Final Account,Luke Holland
Gurgaon,Shanker Raman
Here and There,JP Habac
Heroes of Goo Jit Zu,
Hotel Del Luna,
In the Cut,Jane Campion
Luv Kushh,
Pororo - The Little Penguin,
Q-Force,
Shikara,Vidhu Vinod Chopra
A Cinderella Story,Mark Rosman
Agatha Christie's Crooked House,Gilles Paquet-Brenner
An Unfinished Life,Lasse Hallström
Barbie Big City Big Dreams,Scott Pleydell-Pearce
Blade Runner: The Final Cut,Ridley Scott
Brave Animated Series,
Chappie,Neill Blomkamp
Clear and Present Danger,Phillip Noyce
Cliffhanger,Renny Harlin
Cold Mountain,Anthony Minghella
Crocodile Dundee in Los Angeles,Simon Wincer
Dear John,Lasse Hallström
Do the Right Thing,Spike Lee
"El patrón, radiografía de un crimen",Sebastián Schindel
Extraction,Steven C. Miller
Freedom Writers,Richard LaGravenese
Green Lantern,Martin Campbell
House Party,Reginald Hudlin
House Party 2,"George Jackson, Doug McHenry"
House Party 3,Eric Meza
How to Be a Cowboy,
HQ Barbers,Gerhard Mostert
I Got the Hook Up,Michael Martin
In Too Deep,Michael Rymer
Initial D,"Andrew Lau Wai-keung, Alan Mak"
Janoskians: Untold and Untrue,Brett Weiner
Kid-E-Cats,
Kuroko's Basketball,
Labyrinth,Jim Henson
Letters to Juliet,Gary Winick
Level 16,Danishka Esterhazy
Love Don't Cost a Thing,Troy Byer
Love in a Puff,Pang Ho-cheung
Major Dad,
Mars Attacks!,Tim Burton
Marshall,Reginald Hudlin
My Boss's Daughter,David Zucker
Mystery Men,Kinka Usher
Oldsters,
Once Upon a Time in America,Sergio Leone
Open Season 2,"Matthew O'Callaghan, Todd Wilderman"
Osmosis Jones,"Bobby Farrelly, Peter Farrelly"
Poseidon,Wolfgang Petersen
Rhyme & Reason,Peter Spirer
Same Kind of Different as Me,Michael Carney
School of Rock,Richard Linklater
Snervous Tyler Oakley,Amy Rice
Tears of the Sun,Antoine Fuqua
The Blue Lagoon,Randal Kleiser
The Golden Child,Michael Ritchie
The Guns of Navarone,J. Lee Thompson
The Interview,"Evan Goldberg, Seth Rogen"
The Nutty Professor,Tom Shadyac
The Nutty Professor II: The Klumps,Peter Segal
Turning Point: 9/11 and the War on Terror,
Welcome Home Roscoe Jenkins,Malcolm D. Lee
In the Line of Fire,Wolfgang Petersen
Sparking Joy,
Untold: Crime & Penalties,"Chapman Way, Maclain Way"
Hometown Cha-Cha-Cha,
The Ingenuity of the Househusband,
2 Alone in Paris,"Ramzy Bedia, Éric Judor"
Bread Barbershop,
Thimmarusu,Sharan Koppisetty
Wind River,Taylor Sheridan
C Kkompany,Sachin Yardi
D.P.,
Deadly Sins,
EMI: Liya Hai To Chukana Padega,Saurabh Kabra
He's All That,Mark Waters
I Heart Arlo,
King of Boys: The Return of the King,Kemi Adetiba
Koi Aap Sa,Partho Mitra
Krishna Cottage,Santram Varma
Kucch To Hai,"Anil V. Kumar, Anurag Basu"
Kyaa Kool Hai Hum,Sangeeth Sivan
Kyaa Kool Hain Hum 3,Umesh Ghadge
Kyaa Super Kool Hain Hum,Sachin Yardi
Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia
Once Upon a Time in Mumbaai,Milan Luthria
Once Upon a Time in Mumbai Dobaara!,Milan Luthria
Ragini MMS,Pawan Kripalani
Ragini MMS 2,Bhushan Patel
Rebellion,
RIDE ON TIME,
SAS: Rise of the Black Swan,Magnus Martens
Shootout at Lokhandwala,Apoorva Lakhia
Shor In the City,"Raj Nidimoru, Krishna D.K."
The Dirty Picture,Milan Luthria
Titletown High,
EDENS ZERO,
Family Reunion,
"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé
Clickbait,Brad Anderson
John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela"
Motel Makeover,
Open Your Eyes,
Post Mortem: No One Dies in Skarnes,
Really Love,Angel Kristi Williams
The November Man,Roger Donaldson
The Old Ways,Christopher Alender
The River Runner,Rush Sturges
The Water Man,David Oyelowo
Wheel of Fortune,
Count Me In,Mark Lo
Oggy Oggy,
Untold: Caitlyn Jenner,Crystal Moselle
Boomika,Rathindran R Prasad
Boomika (Hindi),Rathindran R Prasad
Boomika (Malayalam),Rathindran R Prasad
Boomika (Telugu),Rathindran R Prasad
The Witcher: Nightmare of the Wolf,Han Kwang Il
Manifest,
Comedy Premium League,
Everything Will Be Fine,
Gunshot,Karim El Shenawy
Korean Cold Noodle Rhapsody,
Man in Love,Yin Chen-hao
Sweet Girl,Brian Andrew Mendoza
The Chair,
The Loud House Movie,Dave Needham
A Faraway Land,Veronica Velasco
Like Crazy,Drake Doremus
Black Island,Miguel Alexandre
Bombay,Mani Ratnam
Go! Go! Cory Carson,
Memories of a Murderer: The Nilsen Tapes,Michael Harte
Nneka The Pretty Serpent,Tosin Igho
O Kadhal Kanmani,Mani Ratnam
Out of my league,Alice Filippi
Pahuna,Paakhi Tyrewala
The Defeated,
The Secret Diary of an Exchange Student,Bruno Garotti
Untold: Deal With the Devil,Laura Brownson
Mother Goose Club,
Walk of Shame,Steve Brill
Rascal Does Not Dream of Bunny Girl Senpai,
The Creative Indians,
The Piano,Jane Campion
Unroyal,Moses Inwang
Winx Club,
Beckett,Ferdinando Cito Filomarino
Brand New Cherry Flavor,
Fast & Furious Spy Racers,
Gone for Good,Juan Carlos Medina
Grace and Frankie,
The Kingdom,
Valeria,Inma Torrente
AlRawabi School for Girls,
Lokillo: Nothing's the Same,Julián Gaviria
Monster Hunter: Legends of the Guild,Steven Yamamoto
Bake Squad,
Brother Jekwu,Charles Uwagbai
La diosa del asfalto,Julián Hernández
Misha and the Wolves,Sam Hobkinson
The Kissing Booth 3,Vince Marcello
The Railway Man,Jonathan Teplitzky
Gabby's Dollhouse,
I Need Romance,Sakon Tiacharoen
Las muñecas de la mafia,
The Crowned Clown,
Untold: Malice at the Palace,Floyd Russ
SHAMAN KING,
Quartet,Dustin Hoffman
Slay,Adze Ugah
Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa
The Paper Tigers,Quoc Bao Tran
Hit & Run,
Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon"
Quam's Money,Kayode Kasum
The Swarm,Just Philippot
Vivo,"Kirk DeMicco, Brandon Jeffords"
Chennai Express,Rohit Shetty
City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal"
Esperando la carroza,Alejandro Doria
Lady Boss: The Jackie Collins Story,Laura Fairrie
Tango Feroz,Marcelo Piñeyro
'76,Izu Ojukwu
Aftermath,Peter Winther
American Masters: Inventing David Geffen,Susan Lacy
Car Masters: Rust to Riches,
Cocaine Cowboys: The Kings of Miami,Billy Corben
Control Z,
Cooking With Paris,
Autumn's Concerto,
Heavy,James Mangold
Ije: The Journey,Chineze Anyaene
Office Girls,Hsu Fu-chun
Pray Away,Kristine Stolakis
Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt"
The Prince Who Turns into a Frog,
Top Secret UFO Projects: Declassified,
Two Fathers,
You're My Destiny,
30 Rock,
44 Cats,
Beethoven,Brian Levant
Beethoven's 2nd,Rod Daniel
Beowulf,Robert Zemeckis
Boyka: Undisputed,Todor Chapkanov
Catch Me If You Can,Steven Spielberg
Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller"
Darwin’s Game,
Deep Blue Sea,Renny Harlin
Ferris Bueller's Day Off,John Hughes
Five Feet Apart,Justin Baldoni
Freedomland,Joe Roth
Friday Night Lights,
Good Luck Chuck,Mark Helfrich
Hunter X Hunter (2011),
I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen"
Inception,Christopher Nolan
Magnolia,Paul Thomas Anderson
Major Payne,Nick Castle
My Girl,Howard Zieff
My Girl 2,Howard Zieff
Open Season: Scared Silly,David Feiss
Pineapple Express,David Gordon Green
Planet 51,Jorge Blanco
Poms,Zara Hayes
Seabiscuit,Gary Ross
Space Cowboys,Clint Eastwood
Team America: World Police,Trey Parker
The Edge of Seventeen,Kelly Fremon Craig
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins
The Last Boy Scout,Tony Scott
The Lincoln Lawyer,Brad Furman
The Losers,Sylvain White
The Machinist,Brad Anderson
The Net,Irwin Winkler
The Original Kings of Comedy,Spike Lee
Valentine's Day,Garry Marshall
Charmed,
The Lost Café,Kenneth Gyang
The Vault,Jaume Balagueró
Centaurworld,
Eyes of a Thief,Najwa Najjar
Glow Up,
I'm Glad I Did,Selçuk Metin
Khawatir,
Myth & Mogul: John DeLorean,
Outer Banks,
Pomegranates and Myrrh,Najwa Najjar
Rurouni Kenshin: The Beginning,Keishi Otomo
The Last Mercenary,David Charhon
Flower Girl,Michelle Bello
Resort to Love,Steven Tsuchida
Transformers: War for Cybertron: Kingdom,
Bartkowiak,Daniel Markowicz
Fantastic Fungi,Louie Schwartzberg
Tattoo Redo,
The Flash,Glen Winter
The Snitch Cartel: Origins,
All American,
Department,Ram Gopal Varma
Hostage House,David Benullo
How to Sell Drugs Online (Fast),
Mighty Express,
Mimi,Laxman Utekar
Plastic Cup Boyz: Laughing My Mask Off!,"Royale Watkins, Rich Schlansker"
The Operative,Yuval Adler
The Walking Dead,
Wynonna Earp,
Django Unchained,Quentin Tarantino
A Second Chance:  Rivals!,Clay Glen
African America,Muzi Mthembu
Bankrolled,Marcos Bucay
Blood Red Sky,Peter Thorwarth
Feels Like Ishq,
Kingdom: Ashin of the North,Kim Seong-hun
Masters of the Universe: Revelation,
Revelations: The Masters of the Universe: Revelation Aftershow,
Sky Rojo,
The Last Letter From Your Lover,Augustine Frizzell
The Movies That Made Us,
9to5: The Story of a Movement,
Chhota Bheem - Dinosaur World,Sidheswar Shukla
Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka
Chhota Bheem & Ganesh,Rajiv Chilaka
Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka
Chhota Bheem And The Broken Amulet,Rajiv Chilaka
Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka
Chhota Bheem and the Incan Adventure,Rajiv Chilaka
Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka
Chhota Bheem Aur Hanuman,Rajiv Chilaka
Chhota Bheem aur Krishna,Rajiv Chilaka
Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka
Chhota Bheem in African Safari,Binayak Das
Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia"
Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka
Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka
Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina"
Chhota Bheem: Journey to Petra,Rajiv Chilaka
Chhota Bheem: Master of Shaolin,Rajiv Chilaka
Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka
Chicago Med,
Cousins,"Ainsley Gardiner, Briar Grace-Smith"
Wannabe Courageous,Mahmoud Karim
Words Bubble Up Like Soda Pop,Kyohei Ishiguro
Sanitation Day,Seyi Babatope
Sexy Beasts,
Too Hot to Handle: Brazil,
Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco"
Milkwater,Morgan Ingari
Okupas,
Touch Your Heart,
